variant,backend_mode,run_id,run_json,model_id,provider,harness,suite_name,task_id,trial_index,trial_warmup,trial_passed,trial_score,trial_latency_ms,trial_tokens_generated,trial_tokens_prompt,trial_error,trial_speed_metrics_ttft_ms,trial_speed_metrics_prompt_eval_tok_per_sec,trial_speed_metrics_generation_tok_per_sec,trial_speed_metrics_total_latency_ms
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-002,1,true,true,63,1130.6196250079665,35,16,,0,0,30.956476630903506,1130.6196250079665
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-002,2,false,true,64.36,1048.8887919927947,35,16,,0,0,33.36864715038392,1048.8887919927947
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-002,3,false,true,63.46,1102.4770829972113,35,16,,0,0,31.746691645370493,1102.4770829972113
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-003,1,true,true,63.51,784.9870830104919,25,19,,0,0,31.847657803645486,784.9870830104919
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-003,2,false,true,61.61,872.1575830131769,25,19,,0,0,28.664544672797152,872.1575830131769
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-003,3,false,true,63.77,773.8736659957794,25,19,,0,0,32.30501449849871,773.8736659957794
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-001,1,true,true,65.01,4625.601250008913,160,20,,0,0,34.5900978818033,4625.601250008913
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-001,2,false,true,65.13,4594.3355839990545,160,20,,0,0,34.825492625580246,4594.3355839990545
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-001,3,false,true,65.41,4523.415290997946,160,20,,0,0,35.37150354476985,4523.415290997946
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-002,1,true,true,65.11,4598.883790997206,160,20,,0,0,34.79105088787341,4598.883790997206
