model,run_id,candidate,suite,average_task_score,failed_or_partial,task_count
E4B,extra3-i02,json-768-instruction-448-default-288,reasonmath,66.66666666666667,5,15
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,reasonmath,66.66666666666667,5,15
E4B,extra5-i02,json-640-tool-256-coding-128,speed,58.76444444444446,9,9
E4B,extra3-i03,tool-rescue-reason-1024-default-256,speed,58.75111111111111,9,9
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,speed,58.611111111111114,9,9
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,speed,58.138888888888886,9,9
E4B,extra3-i01,promoted-extra5-control,speed,57.88888888888888,9,9
E4B,extra3-i02,json-768-instruction-448-default-288,speed,57.88333333333334,9,9
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,speed,57.69111111111111,9,9
E4B,extra5-i05,balanced-retry-empty-json-320-896,speed,57.67666666666667,9,9
E4B,extra3-i02,json-768-instruction-448-default-288,toolcall,95,1,15
E4B,extra3-i03,tool-rescue-reason-1024-default-256,toolcall,95,1,15
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,toolcall,95,1,15
E4B,extra5-i02,json-640-tool-256-coding-128,toolcall,95,1,15
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,toolcall,95,1,15
E4B,extra3-i01,promoted-extra5-control,toolcall,90,2,15
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,toolcall,90,2,15
E4B,extra5-i05,balanced-retry-empty-json-320-896,toolcall,90,2,15
