variant,base_model,sampler_label,sampler_id,temp,top_p,top_k,run_id,run_json,model_id,suite_name,task_id,trial_index,trial_warmup,trial_passed,trial_score,trial_latency_ms,trial_tokens_generated,trial_tokens_prompt,trial_error,trial_speed_metrics_generation_tok_per_sec,trial_speed_metrics_total_latency_ms
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-long-001,3,false,true,62.29,12901.246374996845,384,20,,29.76456606116817,12901.246374996845
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-long-002,1,true,true,62.35,12859.43666700041,384,21,,29.8613391817864,12859.43666700041
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-long-002,2,false,true,62.28,12905.558458005544,384,21,,29.754620944884262,12905.558458005544
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-long-002,3,false,true,62.39,12832.893624989083,384,21,,29.923103176998918,12832.893624989083
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-long-003,1,true,true,62.33,12875.56562499958,384,21,,29.82393249228711,12875.56562499958
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-long-003,2,false,true,61.96,13141.666749987053,384,21,,29.220037861664565,13141.666749987053
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-long-003,3,false,true,62.4,12823.170874995412,384,21,,29.945791391486654,12823.170874995412
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-short-001,1,true,true,53.39,439.6165829966776,8,15,,18.197675677899667,439.6165829966776
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-short-001,2,false,true,54.84,405.6214170122985,8,15,,19.72282444779645,405.6214170122985
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,speed,speed-short-001,3,false,true,54.64,410.30166699783877,8,15,,19.497849127778803,410.30166699783877
