variant,run_id,run_json,model_id,provider,harness,suite_name,task_id,trial_index,trial_warmup,trial_passed,trial_score,trial_latency_ms,trial_tokens_generated,trial_tokens_prompt,trial_error,trial_speed_metrics_ttft_ms,trial_speed_metrics_prompt_eval_tok_per_sec,trial_speed_metrics_generation_tok_per_sec,trial_speed_metrics_total_latency_ms
"baseline_speed_only","20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat/run.json","gemma-4-E4B-it-IQ4_XS","openai_compat","raw","speed","speed-short-001","1","true","true","42.86","786.853332996543","8","15","","0","0","10.167079002555546","786.853332996543"
"baseline_speed_only","20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat/run.json","gemma-4-E4B-it-IQ4_XS","openai_compat","raw","speed","speed-short-001","2","false","true","45.84","667.0657909999136","8","15","","0","0","11.992820060534383","667.0657909999136"
"baseline_speed_only","20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat/run.json","gemma-4-E4B-it-IQ4_XS","openai_compat","raw","speed","speed-short-001","3","false","true","49.44","546.7328329978045","8","15","","0","0","14.632375297702534","546.7328329978045"
"baseline_speed_only","20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat/run.json","gemma-4-E4B-it-IQ4_XS","openai_compat","raw","speed","speed-short-002","1","true","true","56.37","1630.7710420005606","35","16","","0","0","21.462240313676094","1630.7710420005606"
"baseline_speed_only","20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat/run.json","gemma-4-E4B-it-IQ4_XS","openai_compat","raw","speed","speed-short-002","2","false","true","53.51","1910.157625003194","35","16","","0","0","18.323095194796544","1910.157625003194"
"baseline_speed_only","20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat/run.json","gemma-4-E4B-it-IQ4_XS","openai_compat","raw","speed","speed-short-002","3","false","true","56.22","1644.2400829982944","35","16","","0","0","21.286429130335407","1644.2400829982944"
"baseline_speed_only","20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat/run.json","gemma-4-E4B-it-IQ4_XS","openai_compat","raw","speed","speed-short-003","1","true","true","54.01","1327.2362080024322","25","19","","0","0","18.836134705537045","1327.2362080024322"
"baseline_speed_only","20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat/run.json","gemma-4-E4B-it-IQ4_XS","openai_compat","raw","speed","speed-short-003","2","false","true","52.72","1425.6354160024785","25","19","","0","0","17.536040224155414","1425.6354160024785"
"baseline_speed_only","20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat/run.json","gemma-4-E4B-it-IQ4_XS","openai_compat","raw","speed","speed-short-003","3","false","true","55.34","1233.479750000697","25","19","","0","0","20.267864146116604","1233.479750000697"
"baseline_speed_only","20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-105127-gemma-4-E4B-it-IQ4_XS-local-openai_compat/run.json","gemma-4-E4B-it-IQ4_XS","openai_compat","raw","speed","speed-medium-001","1","true","true","56.85","7259.3149169988465","160","20","","0","0","22.040647337854764","7259.3149169988465"
